"Id","Cluster","TargetType","Domain","TargetUrl","DR_Est","Cost","RatPDF_Page","Anchor_Text","Pitch","Contact","Priority","Status"
"658","PDF to Text","Resource page","aalto.fi","https://www.aalto.fi/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@aalto.fi OR library@aalto.fi","P1","Not started"
"659","OCR","Resource page","aalto.fi","https://www.aalto.fi/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@aalto.fi OR library@aalto.fi","P1","Not started"
"660","OCR","Resource page","aalto.fi","https://www.aalto.fi/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@aalto.fi OR library@aalto.fi","P1","Not started"
"661","Compress PDF","Resource page","uio.no","https://www.uio.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@uio.no OR library@uio.no","P1","Not started"
"662","Compress PDF","Resource page","uio.no","https://www.uio.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@uio.no OR library@uio.no","P1","Not started"
"663","PDF to Text","Resource page","uio.no","https://www.uio.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@uio.no OR library@uio.no","P1","Not started"
"664","PDF to Text","Resource page","uio.no","https://www.uio.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@uio.no OR library@uio.no","P1","Not started"
"665","OCR","Resource page","uio.no","https://www.uio.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@uio.no OR library@uio.no","P1","Not started"
"666","OCR","Resource page","uio.no","https://www.uio.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@uio.no OR library@uio.no","P1","Not started"
"667","Compress PDF","Resource page","ntnu.no","https://www.ntnu.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ntnu.no OR library@ntnu.no","P1","Not started"
"668","Compress PDF","Resource page","ntnu.no","https://www.ntnu.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ntnu.no OR library@ntnu.no","P1","Not started"
"669","PDF to Text","Resource page","ntnu.no","https://www.ntnu.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ntnu.no OR library@ntnu.no","P1","Not started"
"670","PDF to Text","Resource page","ntnu.no","https://www.ntnu.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ntnu.no OR library@ntnu.no","P1","Not started"
"671","OCR","Resource page","ntnu.no","https://www.ntnu.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ntnu.no OR library@ntnu.no","P1","Not started"
"672","OCR","Resource page","ntnu.no","https://www.ntnu.no/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ntnu.no OR library@ntnu.no","P1","Not started"
"673","Compress PDF","Resource page","copenhagen.dk","https://www.copenhagen.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@copenhagen.dk OR library@copenhagen.dk","P1","Not started"
"674","Compress PDF","Resource page","copenhagen.dk","https://www.copenhagen.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@copenhagen.dk OR library@copenhagen.dk","P1","Not started"
"675","PDF to Text","Resource page","copenhagen.dk","https://www.copenhagen.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@copenhagen.dk OR library@copenhagen.dk","P1","Not started"
"676","PDF to Text","Resource page","copenhagen.dk","https://www.copenhagen.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@copenhagen.dk OR library@copenhagen.dk","P1","Not started"
"677","OCR","Resource page","copenhagen.dk","https://www.copenhagen.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@copenhagen.dk OR library@copenhagen.dk","P1","Not started"
"678","OCR","Resource page","copenhagen.dk","https://www.copenhagen.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@copenhagen.dk OR library@copenhagen.dk","P1","Not started"
"679","Compress PDF","Resource page","dtu.dk","https://www.dtu.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@dtu.dk OR library@dtu.dk","P1","Not started"
"680","Compress PDF","Resource page","dtu.dk","https://www.dtu.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@dtu.dk OR library@dtu.dk","P1","Not started"
"681","PDF to Text","Resource page","dtu.dk","https://www.dtu.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@dtu.dk OR library@dtu.dk","P1","Not started"
"682","PDF to Text","Resource page","dtu.dk","https://www.dtu.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@dtu.dk OR library@dtu.dk","P1","Not started"
"683","OCR","Resource page","dtu.dk","https://www.dtu.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@dtu.dk OR library@dtu.dk","P1","Not started"
"684","OCR","Resource page","dtu.dk","https://www.dtu.dk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@dtu.dk OR library@dtu.dk","P1","Not started"
"685","Compress PDF","Resource page","hku.hk","https://www.hku.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@hku.hk OR library@hku.hk","P1","Not started"
"686","Compress PDF","Resource page","hku.hk","https://www.hku.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@hku.hk OR library@hku.hk","P1","Not started"
"687","PDF to Text","Resource page","hku.hk","https://www.hku.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@hku.hk OR library@hku.hk","P1","Not started"
"688","PDF to Text","Resource page","hku.hk","https://www.hku.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@hku.hk OR library@hku.hk","P1","Not started"
"689","OCR","Resource page","hku.hk","https://www.hku.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@hku.hk OR library@hku.hk","P1","Not started"
"690","OCR","Resource page","hku.hk","https://www.hku.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@hku.hk OR library@hku.hk","P1","Not started"
"691","Compress PDF","Resource page","cuhk.edu.hk","https://www.cuhk.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@cuhk.edu.hk OR library@cuhk.edu.hk","P1","Not started"
"692","Compress PDF","Resource page","cuhk.edu.hk","https://www.cuhk.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@cuhk.edu.hk OR library@cuhk.edu.hk","P1","Not started"
"693","PDF to Text","Resource page","cuhk.edu.hk","https://www.cuhk.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@cuhk.edu.hk OR library@cuhk.edu.hk","P1","Not started"
"694","PDF to Text","Resource page","cuhk.edu.hk","https://www.cuhk.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@cuhk.edu.hk OR library@cuhk.edu.hk","P1","Not started"
"695","OCR","Resource page","cuhk.edu.hk","https://www.cuhk.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@cuhk.edu.hk OR library@cuhk.edu.hk","P1","Not started"
"696","OCR","Resource page","cuhk.edu.hk","https://www.cuhk.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@cuhk.edu.hk OR library@cuhk.edu.hk","P1","Not started"
"697","Compress PDF","Resource page","hkust.edu.hk","https://www.hkust.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@hkust.edu.hk OR library@hkust.edu.hk","P1","Not started"
"698","Compress PDF","Resource page","hkust.edu.hk","https://www.hkust.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@hkust.edu.hk OR library@hkust.edu.hk","P1","Not started"
"699","PDF to Text","Resource page","hkust.edu.hk","https://www.hkust.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@hkust.edu.hk OR library@hkust.edu.hk","P1","Not started"
"700","PDF to Text","Resource page","hkust.edu.hk","https://www.hkust.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@hkust.edu.hk OR library@hkust.edu.hk","P1","Not started"
"701","OCR","Resource page","hkust.edu.hk","https://www.hkust.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@hkust.edu.hk OR library@hkust.edu.hk","P1","Not started"
"702","OCR","Resource page","hkust.edu.hk","https://www.hkust.edu.hk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@hkust.edu.hk OR library@hkust.edu.hk","P1","Not started"
"703","Compress PDF","Resource page","ntu.edu.tw","https://www.ntu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ntu.edu.tw OR library@ntu.edu.tw","P1","Not started"
"704","Compress PDF","Resource page","ntu.edu.tw","https://www.ntu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ntu.edu.tw OR library@ntu.edu.tw","P1","Not started"
"705","PDF to Text","Resource page","ntu.edu.tw","https://www.ntu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ntu.edu.tw OR library@ntu.edu.tw","P1","Not started"
"706","PDF to Text","Resource page","ntu.edu.tw","https://www.ntu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ntu.edu.tw OR library@ntu.edu.tw","P1","Not started"
"707","OCR","Resource page","ntu.edu.tw","https://www.ntu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ntu.edu.tw OR library@ntu.edu.tw","P1","Not started"
"708","OCR","Resource page","ntu.edu.tw","https://www.ntu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ntu.edu.tw OR library@ntu.edu.tw","P1","Not started"
"709","Compress PDF","Resource page","nctu.edu.tw","https://www.nctu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@nctu.edu.tw OR library@nctu.edu.tw","P1","Not started"
"710","Compress PDF","Resource page","nctu.edu.tw","https://www.nctu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@nctu.edu.tw OR library@nctu.edu.tw","P1","Not started"
"711","PDF to Text","Resource page","nctu.edu.tw","https://www.nctu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@nctu.edu.tw OR library@nctu.edu.tw","P1","Not started"
"712","PDF to Text","Resource page","nctu.edu.tw","https://www.nctu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@nctu.edu.tw OR library@nctu.edu.tw","P1","Not started"
"713","OCR","Resource page","nctu.edu.tw","https://www.nctu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@nctu.edu.tw OR library@nctu.edu.tw","P1","Not started"
"714","OCR","Resource page","nctu.edu.tw","https://www.nctu.edu.tw/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@nctu.edu.tw OR library@nctu.edu.tw","P1","Not started"
"715","Compress PDF","Resource page","snu.ac.kr","https://www.snu.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@snu.ac.kr OR library@snu.ac.kr","P1","Not started"
"716","Compress PDF","Resource page","snu.ac.kr","https://www.snu.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@snu.ac.kr OR library@snu.ac.kr","P1","Not started"
"717","PDF to Text","Resource page","snu.ac.kr","https://www.snu.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@snu.ac.kr OR library@snu.ac.kr","P1","Not started"
"718","PDF to Text","Resource page","snu.ac.kr","https://www.snu.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@snu.ac.kr OR library@snu.ac.kr","P1","Not started"
"719","OCR","Resource page","snu.ac.kr","https://www.snu.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@snu.ac.kr OR library@snu.ac.kr","P1","Not started"
"720","OCR","Resource page","snu.ac.kr","https://www.snu.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@snu.ac.kr OR library@snu.ac.kr","P1","Not started"
"721","Compress PDF","Resource page","kaist.ac.kr","https://www.kaist.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@kaist.ac.kr OR library@kaist.ac.kr","P1","Not started"
"722","Compress PDF","Resource page","kaist.ac.kr","https://www.kaist.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@kaist.ac.kr OR library@kaist.ac.kr","P1","Not started"
"723","PDF to Text","Resource page","kaist.ac.kr","https://www.kaist.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@kaist.ac.kr OR library@kaist.ac.kr","P1","Not started"
"724","PDF to Text","Resource page","kaist.ac.kr","https://www.kaist.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@kaist.ac.kr OR library@kaist.ac.kr","P1","Not started"
"725","OCR","Resource page","kaist.ac.kr","https://www.kaist.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@kaist.ac.kr OR library@kaist.ac.kr","P1","Not started"
"726","OCR","Resource page","kaist.ac.kr","https://www.kaist.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@kaist.ac.kr OR library@kaist.ac.kr","P1","Not started"
"727","Compress PDF","Resource page","postech.ac.kr","https://www.postech.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@postech.ac.kr OR library@postech.ac.kr","P1","Not started"
"728","Compress PDF","Resource page","postech.ac.kr","https://www.postech.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@postech.ac.kr OR library@postech.ac.kr","P1","Not started"
"729","PDF to Text","Resource page","postech.ac.kr","https://www.postech.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@postech.ac.kr OR library@postech.ac.kr","P1","Not started"
"730","PDF to Text","Resource page","postech.ac.kr","https://www.postech.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@postech.ac.kr OR library@postech.ac.kr","P1","Not started"
"731","OCR","Resource page","postech.ac.kr","https://www.postech.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@postech.ac.kr OR library@postech.ac.kr","P1","Not started"
"732","OCR","Resource page","postech.ac.kr","https://www.postech.ac.kr/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@postech.ac.kr OR library@postech.ac.kr","P1","Not started"
"733","Compress PDF","Resource page","u-tokyo.ac.jp","https://www.u-tokyo.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@u-tokyo.ac.jp OR library@u-tokyo.ac.jp","P1","Not started"
"734","Compress PDF","Resource page","u-tokyo.ac.jp","https://www.u-tokyo.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@u-tokyo.ac.jp OR library@u-tokyo.ac.jp","P1","Not started"
"735","PDF to Text","Resource page","u-tokyo.ac.jp","https://www.u-tokyo.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@u-tokyo.ac.jp OR library@u-tokyo.ac.jp","P1","Not started"
"736","PDF to Text","Resource page","u-tokyo.ac.jp","https://www.u-tokyo.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@u-tokyo.ac.jp OR library@u-tokyo.ac.jp","P1","Not started"
"737","OCR","Resource page","u-tokyo.ac.jp","https://www.u-tokyo.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@u-tokyo.ac.jp OR library@u-tokyo.ac.jp","P1","Not started"
"738","OCR","Resource page","u-tokyo.ac.jp","https://www.u-tokyo.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@u-tokyo.ac.jp OR library@u-tokyo.ac.jp","P1","Not started"
"739","Compress PDF","Resource page","kyoto-u.ac.jp","https://www.kyoto-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@kyoto-u.ac.jp OR library@kyoto-u.ac.jp","P1","Not started"
"740","Compress PDF","Resource page","kyoto-u.ac.jp","https://www.kyoto-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@kyoto-u.ac.jp OR library@kyoto-u.ac.jp","P1","Not started"
"741","PDF to Text","Resource page","kyoto-u.ac.jp","https://www.kyoto-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@kyoto-u.ac.jp OR library@kyoto-u.ac.jp","P1","Not started"
"742","PDF to Text","Resource page","kyoto-u.ac.jp","https://www.kyoto-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@kyoto-u.ac.jp OR library@kyoto-u.ac.jp","P1","Not started"
"743","OCR","Resource page","kyoto-u.ac.jp","https://www.kyoto-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@kyoto-u.ac.jp OR library@kyoto-u.ac.jp","P1","Not started"
"744","OCR","Resource page","kyoto-u.ac.jp","https://www.kyoto-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@kyoto-u.ac.jp OR library@kyoto-u.ac.jp","P1","Not started"
"745","Compress PDF","Resource page","osaka-u.ac.jp","https://www.osaka-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@osaka-u.ac.jp OR library@osaka-u.ac.jp","P1","Not started"
"746","Compress PDF","Resource page","osaka-u.ac.jp","https://www.osaka-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@osaka-u.ac.jp OR library@osaka-u.ac.jp","P1","Not started"
"747","PDF to Text","Resource page","osaka-u.ac.jp","https://www.osaka-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@osaka-u.ac.jp OR library@osaka-u.ac.jp","P1","Not started"
"748","PDF to Text","Resource page","osaka-u.ac.jp","https://www.osaka-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@osaka-u.ac.jp OR library@osaka-u.ac.jp","P1","Not started"
"749","OCR","Resource page","osaka-u.ac.jp","https://www.osaka-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@osaka-u.ac.jp OR library@osaka-u.ac.jp","P1","Not started"
"750","OCR","Resource page","osaka-u.ac.jp","https://www.osaka-u.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@osaka-u.ac.jp OR library@osaka-u.ac.jp","P1","Not started"
"751","Compress PDF","Resource page","tohoku.ac.jp","https://www.tohoku.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@tohoku.ac.jp OR library@tohoku.ac.jp","P1","Not started"
"752","Compress PDF","Resource page","tohoku.ac.jp","https://www.tohoku.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@tohoku.ac.jp OR library@tohoku.ac.jp","P1","Not started"
"753","PDF to Text","Resource page","tohoku.ac.jp","https://www.tohoku.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@tohoku.ac.jp OR library@tohoku.ac.jp","P1","Not started"
"754","PDF to Text","Resource page","tohoku.ac.jp","https://www.tohoku.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@tohoku.ac.jp OR library@tohoku.ac.jp","P1","Not started"
"755","OCR","Resource page","tohoku.ac.jp","https://www.tohoku.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@tohoku.ac.jp OR library@tohoku.ac.jp","P1","Not started"
"756","OCR","Resource page","tohoku.ac.jp","https://www.tohoku.ac.jp/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@tohoku.ac.jp OR library@tohoku.ac.jp","P1","Not started"
"757","Compress PDF","Resource page","nus.edu.sg","https://www.nus.edu.sg/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@nus.edu.sg OR library@nus.edu.sg","P1","Not started"
